device,subject,browser,batterystats_Joule_calculated
nexus5x,http-192-168-100-103-9191-local_websites-www-idntimes-com,chrome,39.098772
nexus5x,http-192-168-100-103-9191-local_websites-www-github-com,chrome,37.229760000000006
nexus5x,http-192-168-100-103-9191-local_websites-www-w3schools-com,chrome,49.329432000000004
nexus5x,http-192-168-100-103-9191-local_websites-www-wp-me,chrome,60.49836
nexus5x,http-192-168-100-103-9191-local_websites-www-oliveogrill-com,chrome,30.404303999999996
nexus5x,http-192-168-100-103-9191-local_websites-www-bankofamerica-com,chrome,46.69232399999999
nexus5x,http-192-168-100-103-9191-local_websites-www-aliyun-com,chrome,39.711744
nexus5x,http-192-168-100-103-9191-local_websites-www-foursquare-com,chrome,33.196536
nexus5x,http-192-168-100-103-9191-local_websites-www-theverge-com,chrome,41.418108
nexus5x,http-192-168-100-103-9191-local_websites-www-elsevier-com,chrome,39.246371999999994
nexus5x,http-192-168-100-103-9191-local_websites-www-scoverage-org,chrome,32.731164
nexus5x,http-192-168-100-103-9191-local_websites-www-techcrunch-com,chrome,32.57604
nexus5x,http-192-168-100-103-9191-local_websites-www-archive-org,chrome,33.661908
nexus5x,http-192-168-100-103-9191-local_websites-www-zillow-com,chrome,42.969348000000004
nexus5x,http-192-168-100-103-9191-local_websites-www-afternic-com,chrome,33.972156
nexus5x,http-192-168-100-103-9191-local_websites-www-w3-org,chrome,44.520588000000004
nexus5x,http-192-168-100-103-9191-local_websites-www-patreon-com,chrome,40.642488
nexus5x,http-192-168-100-103-9191-local_websites-www-meetup-com,chrome,45.141084
nexus5x,http-192-168-100-103-9191-local_websites-www-gotowebinar-com,chrome,36.45414
nexus5x,http-192-168-100-103-9191-local_websites-www-dailymail-co-uk,chrome,69.960924
nexus5x,http-192-168-100-103-9191-local_websites-www-herokuapp-com,chrome,41.883480000000006
nexus5x,http-192-168-100-103-9191-local_websites-www-g-page,chrome,39.091248
nexus5x,http-192-168-100-103-9191-local_websites-www-ria-ru,chrome,50.26017600000001
nexus5x,http-192-168-100-103-9191-local_websites-www-automattic-com,chrome,30.869676
nexus5x,http-192-168-100-103-9191-local_websites-www-reverso-net,chrome,50.415299999999995
nexus5x,http-192-168-100-103-9191-local_websites-www-hao123-com,chrome,43.900092
nexus5x,http-192-168-100-103-9191-local_websites-www-bitly-com,chrome,38.315628000000004
nexus5x,http-192-168-100-103-9191-local_websites-www-fandom-com,chrome,35.36827199999999
nexus5x,http-192-168-100-103-9191-local_websites-www-aaplimg-com,chrome,31.955544000000003
nexus5x,http-192-168-100-103-9191-local_websites-www-wordpress-com,chrome,41.573232000000004
