,device,subject,browser,batterystats_Joule_calculated,headerSize,workerTime,fetchTime,timeToFirstByte,downloadTime,totalTime,totalLoadTime,dnsLookupTime,fcp,fp
0,nexus5x,http-192-168-100-103-9191-local_websites-www-idntimes-com,chrome,40.844412,341,0,64.4,9.4,38.4,47.8,5589,0,1283.5,1283.5
1,nexus5x,http-192-168-100-103-9191-local_websites-www-github-com,chrome,33.332795999999995,339,0,159.0,7.9,52.3,60.2,1376,0,1585.8,1585.8
2,nexus5x,http-192-168-100-103-9191-local_websites-www-w3schools-com,chrome,53.676756000000005,341,0,133.4,15.4,17.2,32.6,1690,0,1288.0,1288.0
3,nexus5x,http-192-168-100-103-9191-local_websites-www-wp-me,chrome,50.233932,334,0,82.1,8.2,41.4,49.6,964,0,1403.8,1403.8
4,nexus5x,http-192-168-100-103-9191-local_websites-www-oliveogrill-com,chrome,43.661268,342,0,34.1,6.2,3.2,9.4,1932,0,1563.9,1563.9
5,nexus5x,http-192-168-100-103-9191-local_websites-www-bankofamerica-com,chrome,35.367191999999996,346,0,132.2,5.6,82.0,87.6,2670,0,1365.4,1365.4
6,nexus5x,http-192-168-100-103-9191-local_websites-www-aliyun-com,chrome,40.374936,339,0,153.7,26.1,97.6,123.7,4977,0,1122.2,1122.2
7,nexus5x,http-192-168-100-103-9191-local_websites-www-foursquare-com,chrome,43.191792,342,0,127.4,18.7,11.0,29.7,2244,0,1767.3,1767.3
8,nexus5x,http-192-168-100-103-9191-local_websites-www-theverge-com,chrome,46.321632,341,0,102.1,5.9,76.2,82.1,947,0,1081.3,1081.3
9,nexus5x,http-192-168-100-103-9191-local_websites-www-elsevier-com,chrome,41.00090400000001,340,0,68.3,24.7,13.3,38.0,1578,0,1435.7,1435.7
10,nexus5x,http-192-168-100-103-9191-local_websites-www-scoverage-org,chrome,34.271747999999995,340,0,47.3,19.4,4.5,23.9,710,0,1286.3,1286.3
11,nexus5x,http-192-168-100-103-9191-local_websites-www-techcrunch-com,chrome,37.401588,342,0,43.2,15.4,9.6,25.0,178,0,1079.7,1079.7
12,nexus5x,http-192-168-100-103-9191-local_websites-www-archive-org,chrome,40.844412,340,0,72.4,29.5,23.5,53.0,6380,0,3192.4,3192.4
13,nexus5x,http-192-168-100-103-9191-local_websites-www-zillow-com,chrome,40.844412,337,0,50.6,9.9,17.0,26.9,2365,0,1263.7,1263.7
14,nexus5x,http-192-168-100-103-9191-local_websites-www-afternic-com,chrome,104.223672,340,0,55.0,8.6,16.5,25.1,1114,0,1547.5,1547.5
15,nexus5x,http-192-168-100-103-9191-local_websites-www-w3-org,chrome,31.611384000000005,334,0,51.6,27.8,7.6,35.4,1132,0,981.1,981.1
16,nexus5x,http-192-168-100-103-9191-local_websites-www-patreon-com,chrome,42.096348,339,0,77.6,19.2,34.8,54.0,4698,0,1054.7,1054.7
17,nexus5x,http-192-168-100-103-9191-local_websites-www-meetup-com,chrome,38.027556,339,0,101.3,4.6,55.6,60.2,2420,0,1207.3,1207.3
18,nexus5x,http-192-168-100-103-9191-local_websites-www-gotowebinar-com,chrome,48.51252,343,0,103.9,4.5,19.6,24.1,6207,0,1551.0,1551.0
19,nexus5x,http-192-168-100-103-9191-local_websites-www-dailymail-co-uk,chrome,49.294979999999995,344,0,350.5,112.5,215.9,328.4,4277,0,2083.8,2083.8
20,nexus5x,http-192-168-100-103-9191-local_websites-www-herokuapp-com,chrome,45.38267999999999,342,0,118.6,28.5,45.2,73.7,2902,0,1179.8,1179.8
21,nexus5x,http-192-168-100-103-9191-local_websites-www-g-page,chrome,38.184048,-18446744073709552000,0,-278.9,34.1,-343.1,-309.0,2060,0,1114.3,1114.3
22,nexus5x,http-192-168-100-103-9191-local_websites-www-ria-ru,chrome,38.653524,335,0,129.1,10.3,45.3,55.6,8008,0,2115.7,1719.6
23,nexus5x,http-192-168-100-103-9191-local_websites-www-automattic-com,chrome,35.680176,342,0,61.8,19.1,8.3,27.4,777,0,1120.3,1120.3
24,nexus5x,http-192-168-100-103-9191-local_websites-www-reverso-net,chrome,60.562404,339,0,81.5,55.8,9.1,64.9,2923,0,1582.8,1582.8
25,nexus5x,http-192-168-100-103-9191-local_websites-www-hao123-com,chrome,60.875388,339,0,164.4,3.8,104.3,108.1,7421,0,2354.3,2354.3
26,nexus5x,http-192-168-100-103-9191-local_websites-www-bitly-com,chrome,46.321632,337,0,70.5,5.1,54.5,59.6,2199,0,1499.6,1499.6
27,nexus5x,http-192-168-100-103-9191-local_websites-www-fandom-com,chrome,41.157396000000006,339,0,90.2,6.1,57.3,63.4,2066,0,1406.0,1406.0
28,nexus5x,http-192-168-100-103-9191-local_websites-www-aaplimg-com,chrome,32.706828,339,0,135.1,10.6,17.1,27.7,1630,0,2074.1,2074.1
29,nexus5x,http-192-168-100-103-9191-local_websites-www-wordpress-com,chrome,40.218444,342,0,79.1,26.5,23.1,49.6,1274,0,1508.8,1508.8
