device,subject,browser,batterystats_Joule_calculated
nexus5x,http-192-168-100-103-9191-local_websites-www-idntimes-com,chrome,52.50492
nexus5x,http-192-168-100-103-9191-local_websites-www-github-com,chrome,37.74762
nexus5x,http-192-168-100-103-9191-local_websites-www-w3schools-com,chrome,53.126279999999994
nexus5x,http-192-168-100-103-9191-local_websites-www-wp-me,chrome,41.00976
nexus5x,http-192-168-100-103-9191-local_websites-www-oliveogrill-com,chrome,32.77674
nexus5x,http-192-168-100-103-9191-local_websites-www-bankofamerica-com,chrome,38.058299999999996
nexus5x,http-192-168-100-103-9191-local_websites-www-aliyun-com,chrome,41.63112
nexus5x,http-192-168-100-103-9191-local_websites-www-foursquare-com,chrome,33.55344
nexus5x,http-192-168-100-103-9191-local_websites-www-theverge-com,chrome,36.19422
nexus5x,http-192-168-100-103-9191-local_websites-www-elsevier-com,chrome,34.1748
nexus5x,http-192-168-100-103-9191-local_websites-www-scoverage-org,chrome,33.087419999999995
nexus5x,http-192-168-100-103-9191-local_websites-www-techcrunch-com,chrome,34.33014
nexus5x,http-192-168-100-103-9191-local_websites-www-archive-org,chrome,58.71851999999999
nexus5x,http-192-168-100-103-9191-local_websites-www-zillow-com,chrome,41.00976
nexus5x,http-192-168-100-103-9191-local_websites-www-afternic-com,chrome,37.12626
nexus5x,http-192-168-100-103-9191-local_websites-www-w3-org,chrome,33.242760000000004
nexus5x,http-192-168-100-103-9191-local_websites-www-patreon-com,chrome,41.498999999999995
nexus5x,http-192-168-100-103-9191-local_websites-www-meetup-com,chrome,34.48548
nexus5x,http-192-168-100-103-9191-local_websites-www-gotowebinar-com,chrome,43.18452
nexus5x,http-192-168-100-103-9191-local_websites-www-dailymail-co-uk,chrome,56.6991
nexus5x,http-192-168-100-103-9191-local_websites-www-herokuapp-com,chrome,34.1748
nexus5x,http-192-168-100-103-9191-local_websites-www-g-page,chrome,34.01946
nexus5x,http-192-168-100-103-9191-local_websites-www-ria-ru,chrome,50.01948000000001
nexus5x,http-192-168-100-103-9191-local_websites-www-automattic-com,chrome,37.12626
nexus5x,http-192-168-100-103-9191-local_websites-www-reverso-net,chrome,37.12626
nexus5x,http-192-168-100-103-9191-local_websites-www-hao123-com,chrome,40.85442
nexus5x,http-192-168-100-103-9191-local_websites-www-bitly-com,chrome,38.058299999999996
nexus5x,http-192-168-100-103-9191-local_websites-www-fandom-com,chrome,42.7185
nexus5x,http-192-168-100-103-9191-local_websites-www-aaplimg-com,chrome,38.67966
nexus5x,http-192-168-100-103-9191-local_websites-www-wordpress-com,chrome,38.835
