device,subject,browser,batterystats_Joule_calculated
nexus5x,http-192-168-100-103-9191-local_websites-www-idntimes-com,chrome,53.27596799999999
nexus5x,http-192-168-100-103-9191-local_websites-www-github-com,chrome,41.573232000000004
nexus5x,http-192-168-100-103-9191-local_websites-www-w3schools-com,chrome,35.833644
nexus5x,http-192-168-100-103-9191-local_websites-www-wp-me,chrome,40.33224
nexus5x,http-192-168-100-103-9191-local_websites-www-oliveogrill-com,chrome,45.141084
nexus5x,http-192-168-100-103-9191-local_websites-www-bankofamerica-com,chrome,32.886288
nexus5x,http-192-168-100-103-9191-local_websites-www-aliyun-com,chrome,42.50397600000001
nexus5x,http-192-168-100-103-9191-local_websites-www-foursquare-com,chrome,40.177116
nexus5x,http-192-168-100-103-9191-local_websites-www-theverge-com,chrome,40.44978
nexus5x,http-192-168-100-103-9191-local_websites-www-elsevier-com,chrome,38.00538000000001
nexus5x,http-192-168-100-103-9191-local_websites-www-scoverage-org,chrome,34.9029
nexus5x,http-192-168-100-103-9191-local_websites-www-techcrunch-com,chrome,37.970099999999995
nexus5x,http-192-168-100-103-9191-local_websites-www-archive-org,chrome,34.127280000000006
nexus5x,http-192-168-100-103-9191-local_websites-www-zillow-com,chrome,32.110668
nexus5x,http-192-168-100-103-9191-local_websites-www-afternic-com,chrome,32.731164
nexus5x,http-192-168-100-103-9191-local_websites-www-w3-org,chrome,31.955544000000003
nexus5x,http-192-168-100-103-9191-local_websites-www-patreon-com,chrome,45.141084
nexus5x,http-192-168-100-103-9191-local_websites-www-meetup-com,chrome,34.74777600000001
nexus5x,http-192-168-100-103-9191-local_websites-www-gotowebinar-com,chrome,39.401496
nexus5x,http-192-168-100-103-9191-local_websites-www-dailymail-co-uk,chrome,59.41249200000001
nexus5x,http-192-168-100-103-9191-local_websites-www-herokuapp-com,chrome,39.401496
nexus5x,http-192-168-100-103-9191-local_websites-www-g-page,chrome,30.869676
nexus5x,http-192-168-100-103-9191-local_websites-www-ria-ru,chrome,39.711744
nexus5x,http-192-168-100-103-9191-local_websites-www-automattic-com,chrome,43.43471999999999
nexus5x,http-192-168-100-103-9191-local_websites-www-reverso-net,chrome,49.794804
nexus5x,http-192-168-100-103-9191-local_websites-www-hao123-com,chrome,51.19091999999999
nexus5x,http-192-168-100-103-9191-local_websites-www-bitly-com,chrome,33.196536
nexus5x,http-192-168-100-103-9191-local_websites-www-fandom-com,chrome,41.883480000000006
nexus5x,http-192-168-100-103-9191-local_websites-www-aaplimg-com,chrome,33.506784
nexus5x,http-192-168-100-103-9191-local_websites-www-wordpress-com,chrome,51.035796000000005
