,device,subject,browser,batterystats_Joule_calculated,headerSize,workerTime,fetchTime,timeToFirstByte,downloadTime,totalTime,totalLoadTime,dnsLookupTime,fcp,fp
0,nexus5x,http-192-168-100-103-9191-local_websites-www-idntimes-com,chrome,53.27596799999999,188,0,142.1,5.3,59.8,65.1,4920,0,1065.1,1065.1
1,nexus5x,http-192-168-100-103-9191-local_websites-www-github-com,chrome,41.573232,339,0,108.0,42.5,45.8,88.3,1047,0,1526.7,1526.7
2,nexus5x,http-192-168-100-103-9191-local_websites-www-w3schools-com,chrome,35.833644,341,0,82.2,15.2,30.8,46.0,1771,0,1216.6,1216.6
3,nexus5x,http-192-168-100-103-9191-local_websites-www-wp-me,chrome,40.332240000000006,334,0,94.0,3.2,51.8,55.0,1070,0,1454.9,1454.9
4,nexus5x,http-192-168-100-103-9191-local_websites-www-oliveogrill-com,chrome,45.141084,342,0,28.9,6.6,4.6,11.2,2385,0,1411.2,1411.2
5,nexus5x,http-192-168-100-103-9191-local_websites-www-bankofamerica-com,chrome,32.886288,346,0,79.6,11.2,54.7,65.9,1197,0,1293.4,1293.4
6,nexus5x,http-192-168-100-103-9191-local_websites-www-aliyun-com,chrome,42.50397600000001,339,0,133.5,25.5,83.9,109.4,4989,0,1529.6,1529.6
7,nexus5x,http-192-168-100-103-9191-local_websites-www-foursquare-com,chrome,40.177116,342,0,42.2,5.4,18.6,24.0,2760,0,1805.0,1805.0
8,nexus5x,http-192-168-100-103-9191-local_websites-www-theverge-com,chrome,40.44978,188,0,525.1,19.6,66.3,85.9,915,0,1437.8,1058.1
9,nexus5x,http-192-168-100-103-9191-local_websites-www-elsevier-com,chrome,38.00538000000001,340,0,81.4,5.3,28.0,33.3,1711,0,1914.2,1914.2
10,nexus5x,http-192-168-100-103-9191-local_websites-www-scoverage-org,chrome,34.9029,340,0,45.8,16.0,7.3,23.3,959,0,1466.6,1466.6
11,nexus5x,http-192-168-100-103-9191-local_websites-www-techcrunch-com,chrome,37.9701,187,0,177.4,5.3,8.7,14.0,290,0,924.1,924.1
12,nexus5x,http-192-168-100-103-9191-local_websites-www-archive-org,chrome,34.127280000000006,340,0,69.3,6.7,46.8,53.5,4482,0,3014.0,3014.0
13,nexus5x,http-192-168-100-103-9191-local_websites-www-zillow-com,chrome,32.110668,337,0,66.8,37.8,14.6,52.4,2097,0,1180.5,1180.5
14,nexus5x,http-192-168-100-103-9191-local_websites-www-afternic-com,chrome,32.731164,340,0,45.9,3.2,15.7,18.9,1215,0,1523.5,1523.5
15,nexus5x,http-192-168-100-103-9191-local_websites-www-w3-org,chrome,31.955544000000003,334,0,43.4,18.7,5.6,24.3,1242,0,1045.0,1045.0
16,nexus5x,http-192-168-100-103-9191-local_websites-www-patreon-com,chrome,45.141084,339,0,69.6,35.2,7.8,43.0,4789,0,1257.6,1257.6
17,nexus5x,http-192-168-100-103-9191-local_websites-www-meetup-com,chrome,34.74777600000001,339,0,108.6,8.6,59.3,67.9,2414,0,1498.7,1498.7
18,nexus5x,http-192-168-100-103-9191-local_websites-www-gotowebinar-com,chrome,39.401496,343,0,57.9,5.1,29.0,34.1,7022,0,1702.3,1702.3
19,nexus5x,http-192-168-100-103-9191-local_websites-www-dailymail-co-uk,chrome,59.41249200000001,344,0,312.0,22.0,273.8,295.8,5015,0,2412.3,2412.3
20,nexus5x,http-192-168-100-103-9191-local_websites-www-herokuapp-com,chrome,39.401496,342,0,90.5,4.1,42.8,46.9,3388,0,1668.2,1668.2
21,nexus5x,http-192-168-100-103-9191-local_websites-www-g-page,chrome,30.869676000000002,-18446744073709552000,0,-199.5,5.9,-227.7,-221.8,2085,0,1143.5,1143.5
22,nexus5x,http-192-168-100-103-9191-local_websites-www-ria-ru,chrome,39.711744,335,0,100.4,6.7,73.0,79.7,8674,0,2466.5,1508.5
23,nexus5x,http-192-168-100-103-9191-local_websites-www-automattic-com,chrome,43.43471999999999,342,0,46.5,21.3,7.0,28.3,889,0,1033.9,1033.9
24,nexus5x,http-192-168-100-103-9191-local_websites-www-reverso-net,chrome,49.794804,339,0,60.8,17.4,13.9,31.3,3451,0,1271.7,1271.7
25,nexus5x,http-192-168-100-103-9191-local_websites-www-hao123-com,chrome,51.19091999999999,339,0,127.4,31.2,77.0,108.2,7010,0,2148.4,2148.4
26,nexus5x,http-192-168-100-103-9191-local_websites-www-bitly-com,chrome,33.196536,337,0,62.7,3.4,15.0,18.4,2218,0,1532.6,1532.6
27,nexus5x,http-192-168-100-103-9191-local_websites-www-fandom-com,chrome,41.88348000000001,339,0,95.4,3.8,74.0,77.8,5744,0,2360.1,2360.1
28,nexus5x,http-192-168-100-103-9191-local_websites-www-aaplimg-com,chrome,33.506784,339,0,47.1,24.7,3.8,28.5,1664,0,2409.1,2409.1
29,nexus5x,http-192-168-100-103-9191-local_websites-www-wordpress-com,chrome,51.03579600000001,342,0,104.6,49.0,18.5,67.5,1121,0,1629.3,1629.3
