Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,25.804,25.804,screen dark,10.864616795599998
0,9.567,9.567,wifi running,0.0230909112
9.567,9.882,0.3149999999999995,wifi scan,0.03496269762059163
9.882,25.804,15.921999999999999,wifi running,0.0384293392
0,25.804,25.804,phone_scanning,0.5082087640843153
0.0,8.48087200000009,8.48087200000009,core 0 cpu_idle start,0.0027414418740000284
8.48087200000009,33.05000000000291,24.56912800000282,core 0 cpu_idle,0.007941970626000909
0.0,8.48231599999417,8.48231599999417,core 1 cpu_idle start,0.002741908646998115
8.48231599999417,33.05000000000291,24.56768400000874,core 1 cpu_idle,0.007941503853002824
0.0,8.482170999996015,8.482170999996015,core 2 cpu_idle start,0.002741861775748711
8.482170999996015,33.05000000000291,24.567829000006896,core 2 cpu_idle,0.007941550724252226
0.0,8.482275000002119,8.482275000002119,core 3 cpu_idle start,0.0027418953937506842
8.482275000002119,33.05000000000291,24.56772500000079,core 3 cpu_idle,0.007941517106250254
0.0,8.501204000000143,8.501204000000143,core 4 cpu_idle start,0.0027480141930000456
8.501204000000143,33.05000000000291,24.548796000002767,core 4 cpu_idle,0.007935398307000891
0.0,8.550686999995378,8.550686999995378,core 5 cpu_idle start,0.0027640095727485053
8.550686999995378,33.05000000000291,24.499313000007533,core 5 cpu_idle,0.007919402927252434
