device,subject,browser,batterystats_Joule_calculated
nexus5x,http-192-168-100-103-9191-local_websites-www-idntimes-com,chrome,49.74336
nexus5x,http-192-168-100-103-9191-local_websites-www-w3schools-com,chrome,64.089072
nexus5x,http-192-168-100-103-9191-local_websites-www-wp-me,chrome,61.712855999999995
nexus5x,http-192-168-100-103-9191-local_websites-www-oliveogrill-com,chrome,49.466808
nexus5x,http-192-168-100-103-9191-local_websites-www-bankofamerica-com,chrome,43.525439999999996
nexus5x,http-192-168-100-103-9191-local_websites-www-aliyun-com,chrome,48.499776000000004
nexus5x,http-192-168-100-103-9191-local_websites-www-foursquare-com,chrome,50.209704
nexus5x,http-192-168-100-103-9191-local_websites-www-theverge-com,chrome,52.230528
nexus5x,http-192-168-100-103-9191-local_websites-www-elsevier-com,chrome,45.85716
nexus5x,http-192-168-100-103-9191-local_websites-www-scoverage-org,chrome,50.866812
nexus5x,http-192-168-100-103-9191-local_websites-www-techcrunch-com,chrome,44.30268
nexus5x,http-192-168-100-103-9191-local_websites-www-archive-org,chrome,51.453288
nexus5x,http-192-168-100-103-9191-local_websites-www-afternic-com,chrome,50.986943999999994
nexus5x,http-192-168-100-103-9191-local_websites-www-w3-org,chrome,45.85716
nexus5x,http-192-168-100-103-9191-local_websites-www-patreon-com,chrome,55.184039999999996
nexus5x,http-192-168-100-103-9191-local_websites-www-meetup-com,chrome,50.05425600000001
nexus5x,http-192-168-100-103-9191-local_websites-www-gotowebinar-com,chrome,42.126408
nexus5x,http-192-168-100-103-9191-local_websites-www-dailymail-co-uk,chrome,63.933516000000004
nexus5x,http-192-168-100-103-9191-local_websites-www-herokuapp-com,chrome,56.893968
nexus5x,http-192-168-100-103-9191-local_websites-www-g-page,chrome,47.567088
nexus5x,http-192-168-100-103-9191-local_websites-www-ria-ru,chrome,48.533472
nexus5x,http-192-168-100-103-9191-local_websites-www-automattic-com,chrome,46.16805600000001
nexus5x,http-192-168-100-103-9191-local_websites-www-reverso-net,chrome,50.36515200000001
nexus5x,http-192-168-100-103-9191-local_websites-www-hao123-com,chrome,66.88908
nexus5x,http-192-168-100-103-9191-local_websites-www-bitly-com,chrome,49.277016
nexus5x,http-192-168-100-103-9191-local_websites-www-fandom-com,chrome,50.5206
nexus5x,http-192-168-100-103-9191-local_websites-www-aaplimg-com,chrome,42.437304
nexus5x,http-192-168-100-103-9191-local_websites-www-wordpress-com,chrome,61.712855999999995
nexus5x,http-192-168-100-103-9191-local_websites-www-zillow-com,chrome,39.10032
nexus5x,http-192-168-100-103-9191-local_websites-www-github-com,chrome,38.227968

