Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,25.646,25.646,screen dark,10.810618648100002
0,13.959,13.959,wifi running,0.033730527600000004
13.959,19.663,5.704000000000001,wifi scan,0.6338367660944975
19.663,25.646,5.9830000000000005,wifi running,0.014457321200000003
0,25.646,25.646,phone_scanning,0.5056829196555518
0.0,8.268922999995993,8.268922999995993,core 0 cpu_idle start,0.0026760302058737038
8.268922999995993,33.13300000000163,24.864077000005636,core 0 cpu_idle,0.008046636919126824
0.0,8.270497999998042,8.270497999998042,core 1 cpu_idle start,0.0026765399152493667
8.270497999998042,33.13300000000163,24.862502000003587,core 1 cpu_idle,0.008046127209751161
0.0,8.272947000019485,8.272947000019485,core 2 cpu_idle start,0.002677332472881306
8.272947000019485,33.13300000000163,24.860052999982145,core 2 cpu_idle,0.008045334652119223
0.0,8.270577999996021,8.270577999996021,core 3 cpu_idle start,0.0026765658052487124
8.270577999996021,33.13300000000163,24.86242200000561,core 3 cpu_idle,0.008046101319751815
0.0,8.272836999996798,8.272836999996798,core 4 cpu_idle start,0.0026772968741239638
8.272836999996798,32.544427000015276,24.271590000018477,core 4 cpu_idle,0.00785489331375598
32.544427000015276,32.54962600002182,0.00519900000654161,core 4 cpu_frequency,0.004747528594098549
32.54962600002182,33.13300000000163,0.5833739999798127,core 4 cpu_idle,0.00018879441074346688
0.0,8.270213000010699,8.270213000010699,core 5 cpu_idle start,0.0026764476821284624
8.270213000010699,32.544458000018494,24.274245000007795,core 5 cpu_idle,0.007855752538127524
32.544458000018494,32.55127100000391,0.006812999985413626,core 5 cpu_frequency,0.00622137184105528
32.55127100000391,33.13300000000163,0.581728999997722,core 5 cpu_idle,0.0001882620476242628
