Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,25.726,25.726,screen dark,10.829262198459999
0,25.726,25.726,wifi running,0.062077867040000005
0,25.726,25.726,phone_scanning,0.5065549997173572
0.0,8.39670599999954,8.39670599999954,core 0 cpu_idle start,0.0027136054615498513
8.39670599999954,33.12199999999939,24.72529399999985,core 0 cpu_idle,0.00799059688844995
0.0,8.402914999998757,8.402914999998757,core 1 cpu_idle start,0.002715612055124598
8.402914999998757,33.12199999999939,24.719085000000632,core 1 cpu_idle,0.007988590294875204
0.0,8.398604000001797,8.398604000001797,core 2 cpu_idle start,0.0027142188477005803
8.398604000001797,33.12199999999939,24.723395999997592,core 2 cpu_idle,0.007989983502299222
0.0,8.393233999999211,8.393233999999211,core 3 cpu_idle start,0.0027124833979497447
8.393233999999211,33.12199999999939,24.728766000000178,core 3 cpu_idle,0.007991718952050057
0.0,8.393091999998433,8.393091999998433,core 4 cpu_idle start,0.0027124375070994933
8.393091999998433,33.12199999999939,24.728908000000956,core 4 cpu_idle,0.007991764842900309
0.0,8.396669000001566,8.396669000001566,core 5 cpu_idle start,0.002713593504075506
8.396669000001566,33.12199999999939,24.725330999997823,core 5 cpu_idle,0.007990608845924296
