"","subject","navigationMean","headerSizeAvg","timeToFirstByteAvg","fetchTimeAvg","downloadTimeAvg","totalTimeAvg","navigationMean.1","headerSizeNormalized","timeToFirstByteNormalized","fetchTimeNormalized","downloadTimeNormalized","totalTimeNormalized","batteryStatsAvg"
"fetchTime18","http-192-168-100-103-9191-local_websites-www-oliveogrill-com",0.191261786406204,342,7.06363636363636,48.2454545454545,9.97272727272727,17.0363636363636,0.191261786406204,0.954779033915725,0,0,0.00152989811529573,0,39.7189047272727
"fetchTime25","http-192-168-100-103-9191-local_websites-www-w3-org",0.218148226399876,334,9.99090909090909,59.2454545454545,15.2272727272727,25.2181818181818,0.218148226399876,0.864337101747174,0.136846578835529,0.0410113882863341,0.0203443898310602,0.0282016732992824,45.5113341818182
"fetchTime","http-192-168-100-103-9191-local_websites-www-aaplimg-com",0.21969502063454,325.181818181818,10.0636363636364,81.8363636363636,18.0090909090909,28.0727272727273,0.21969502063454,0.76464542651593,0.140246493837654,0.125237255965293,0.0303050030923473,0.0380409237614765,36.3722661818182
"fetchTime23","http-192-168-100-103-9191-local_websites-www-techcrunch-com",0.233827091624766,327.909090909091,12.6909090909091,73.1,9.54545454545454,22.2363636363636,0.233827091624766,0.795477903391573,0.263068423289418,0.0926654013015184,0,0.0179237301413217,38.3742589090909
"fetchTime1","http-192-168-100-103-9191-local_websites-www-afternic-com",0.235770050820756,340,8.93636363636364,65.6363636363636,22.2545454545455,31.1909090909091,0.235770050820756,0.932168550873587,0.0875478113047174,0.0648386659436009,0.0455063311741154,0.0487888948077586,45.1462058181818
"fetchTime13","http-192-168-100-103-9191-local_websites-www-gotowebinar-com",0.246750927093018,343,7.48181818181818,78.7,28.7,36.1818181818182,0.246750927093018,0.966084275436793,0.0195495112622184,0.113543926247289,0.0685850069984701,0.0659919155203209,40.7884647272727
"fetchTime16","http-192-168-100-103-9191-local_websites-www-idntimes-com",0.252990017286284,257.545454545455,12.6909090909091,193.463636363636,72.5181818181818,85.2090909090909,0.252990017286284,0,0.263068423289418,0.541418112798265,0.225480941375606,0.234982608968132,49.4949272727273
"fetchTime6","http-192-168-100-103-9191-local_websites-www-bitly-com",0.253065125652701,323.363636363636,12.8818181818182,83.6727272727273,23.5727272727273,36.4545454545455,0.253065125652701,0.744090441932169,0.271993200169996,0.132083785249458,0.0502262296149214,0.0669319712969636,49.2237032727273
"fetchTime26","http-192-168-100-103-9191-local_websites-www-w3schools-com",0.266395633501698,341,10.3727272727273,74.8272727272727,27.3,37.6727272727273,0.266395633501698,0.943473792394656,0.154696132596685,0.0991052060737527,0.0635721493440969,0.0711308870993012,50.5140872727273
"fetchTime3","http-192-168-100-103-9191-local_websites-www-archive-org",0.291130314301372,340,10.6909090909091,78.9363636363636,42.0545454545455,52.7454545454545,0.291130314301372,0.932168550873587,0.169570760730982,0.114425162689805,0.116402460857394,0.12308463635509,37.0941349090909
"fetchTime22","http-192-168-100-103-9191-local_websites-www-scoverage-org",0.291546526685265,340,15.6909090909091,73.1454545454545,9.70909090909091,25.4,0.291546526685265,0.932168550873587,0.403314917127072,0.0928348698481562,0.000585918427134535,0.0288283771503776,36.6895865454545
"fetchTime19","http-192-168-100-103-9191-local_websites-www-patreon-com",0.302814010176004,339,14.6181818181818,69.3181818181818,29.0272727272727,43.6454545454545,0.302814010176004,0.920863309352518,0.353166170845729,0.0785656182212581,0.0697568438527392,0.0917181086077774,44.4146498181818
"fetchTime8","http-192-168-100-103-9191-local_websites-www-elsevier-com",0.30488382122133,326.090909090909,16.5636363636364,94.5727272727273,23.9727272727273,40.5363636363636,0.30488382122133,0.774922918807811,0.444113897152571,0.172722342733189,0.051658474659028,0.0810014727540501,38.7402447272727
"fetchTime28","http-192-168-100-103-9191-local_websites-www-wp-me",0.305562935229259,334,10.2363636363636,102.145454545455,52.9090909090909,63.1454545454545,0.305562935229259,0.864337101747174,0.148321291967701,0.200955802603037,0.155268383190651,0.158932096637734,49.8614989090909
"fetchTime10","http-192-168-100-103-9191-local_websites-www-foursquare-com",0.318030134808147,342,16.3909090909091,72.0454545454545,20.9181818181818,37.3090909090909,0.318030134808147,0.954779033915725,0.436039099022524,0.0887337310195228,0.0407213306858501,0.0698774793971109,39.7949956363636
"fetchTime15","http-192-168-100-103-9191-local_websites-www-herokuapp-com",0.322844060854118,342,9.27272727272727,102.727272727273,58.9090909090909,68.1818181818182,0.322844060854118,0.954779033915725,0.103272418189545,0.203125,0.176752058852251,0.17629179331307,44.3729814545455
"fetchTime29","http-192-168-100-103-9191-local_websites-www-zillow-com",0.323514875643793,337,19.9636363636364,62.0545454545455,12.6454545454545,32.6090909090909,0.323514875643793,0.89825282631038,0.603059923501913,0.0514845444685466,0.0110998990918264,0.0536771848463009,36.9582709090909
