device,subject,browser,batterystats_Joule_calculated
nexus5x,http-192-168-100-103-9191-local_websites-www-idntimes-com,chrome,38.36898
nexus5x,http-192-168-100-103-9191-local_websites-www-github-com,chrome,40.233059999999995
nexus5x,http-192-168-100-103-9191-local_websites-www-w3schools-com,chrome,35.531639999999996
nexus5x,http-192-168-100-103-9191-local_websites-www-wp-me,chrome,40.85442
nexus5x,http-192-168-100-103-9191-local_websites-www-oliveogrill-com,chrome,33.242760000000004
nexus5x,http-192-168-100-103-9191-local_websites-www-bankofamerica-com,chrome,34.1748
nexus5x,http-192-168-100-103-9191-local_websites-www-aliyun-com,chrome,40.54374
nexus5x,http-192-168-100-103-9191-local_websites-www-foursquare-com,chrome,38.67966
nexus5x,http-192-168-100-103-9191-local_websites-www-theverge-com,chrome,45.30672
nexus5x,http-192-168-100-103-9191-local_websites-www-elsevier-com,chrome,39.14568
nexus5x,http-192-168-100-103-9191-local_websites-www-scoverage-org,chrome,34.1748
nexus5x,http-192-168-100-103-9191-local_websites-www-techcrunch-com,chrome,36.4626
nexus5x,http-192-168-100-103-9191-local_websites-www-archive-org,chrome,39.456360000000004
nexus5x,http-192-168-100-103-9191-local_websites-www-zillow-com,chrome,36.66024
nexus5x,http-192-168-100-103-9191-local_websites-www-afternic-com,chrome,35.417519999999996
nexus5x,http-192-168-100-103-9191-local_websites-www-w3-org,chrome,34.9515
nexus5x,http-192-168-100-103-9191-local_websites-www-patreon-com,chrome,45.58845600000001
nexus5x,http-192-168-100-103-9191-local_websites-www-meetup-com,chrome,40.49676
nexus5x,http-192-168-100-103-9191-local_websites-www-gotowebinar-com,chrome,52.50492
nexus5x,http-192-168-100-103-9191-local_websites-www-dailymail-co-uk,chrome,41.320440000000005
nexus5x,http-192-168-100-103-9191-local_websites-www-herokuapp-com,chrome,47.3787
nexus5x,http-192-168-100-103-9191-local_websites-www-g-page,chrome,34.911
nexus5x,http-192-168-100-103-9191-local_websites-www-ria-ru,chrome,38.835
nexus5x,http-192-168-100-103-9191-local_websites-www-automattic-com,chrome,31.689360000000004
nexus5x,http-192-168-100-103-9191-local_websites-www-reverso-net,chrome,38.835
nexus5x,http-192-168-100-103-9191-local_websites-www-hao123-com,chrome,50.4855
nexus5x,http-192-168-100-103-9191-local_websites-www-bitly-com,chrome,35.883539999999996
nexus5x,http-192-168-100-103-9191-local_websites-www-fandom-com,chrome,40.96224
nexus5x,http-192-168-100-103-9191-local_websites-www-aaplimg-com,chrome,34.135200000000005
nexus5x,http-192-168-100-103-9191-local_websites-www-wordpress-com,chrome,38.47968
